,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
103,sandiego,1 Bedrooom with walk in closet,2017-03-17 11:22,1.0,,1345.0,6048097766,Jane_Treat_Low,https://sandiego.craigslist.org/csd/apa/6048097766.html,https://sandiego.craigslist.org/reply/sdo/apa/6048097766,,
91,sandiego,Golden Hill 1 Br + den,2017-03-17 12:43,1.0,750.0,1650.0,6043826180,Jane_Treat_Low,https://sandiego.craigslist.org/csd/apa/6043826180.html,https://sandiego.craigslist.org/reply/sdo/apa/6043826180,,
86,sandiego,[1bdr + den] - Bayside - Downtown Condo Living (Little Italy),2017-03-15 16:40,2.0,1448.0,3600.0,6045725683,Jane_Treat_Low,https://sandiego.craigslist.org/csd/apa/6045725683.html,https://sandiego.craigslist.org/reply/sdo/apa/6045725683,,
42,sandiego,Breathtaking Views!,2017-03-17 13:10,2.0,950.0,1600.0,6048262255,Jane_Treat_Low,https://sandiego.craigslist.org/ssd/apa/6048262255.html,https://sandiego.craigslist.org/reply/sdo/apa/6048262255,,
54,sandiego,Large one Bedroom,2017-03-17 12:17,1.0,600.0,1350.0,6036528854,Jane_Treat_Low,https://sandiego.craigslist.org/csd/apa/6036528854.html,https://sandiego.craigslist.org/reply/sdo/apa/6036528854,,
39,sandiego,"2x2 w/ Den, Top Floor, Corner, Golf Course Views 55+",2017-03-17 09:33,2.0,1507.0,3013.0,6047917967,John_Control,https://sandiego.craigslist.org/csd/apa/6047917967.html,https://sandiego.craigslist.org/reply/sdo/apa/6047917967,,
112,sandiego,"2nd Floor 1x1 w/ HUGE PRIVATE balcony, READY NOW!!!",2017-03-17 11:01,1.0,698.0,2395.0,6038089957,John_Control,https://sandiego.craigslist.org/csd/apa/6038089957.html,https://sandiego.craigslist.org/reply/sdo/apa/6038089957,,
73,sandiego,"13048 Alora Point - Wood floors, granite, AC, 2 car garage!",2017-03-17 11:00,2.0,1476.0,3000.0,6048053519,John_Control,https://sandiego.craigslist.org/csd/apa/6048053519.html,https://sandiego.craigslist.org/reply/sdo/apa/6048053519,,
22,sandiego,Coronado - Updated 2bd/2ba Condo Steps to the Beach!,2017-03-17 10:49,2.0,1404.0,3350.0,6048050731,John_Control,https://sandiego.craigslist.org/csd/apa/6048050731.html,https://sandiego.craigslist.org/reply/sdo/apa/6048050731,,
15,sandiego,3969 Oceanview Blvd #A- Large 2Bd 1BA Large Kitchen with Dining Area,2017-03-17 12:03,2.0,,1395.0,6048177066,John_Control,https://sandiego.craigslist.org/csd/apa/6048177066.html,https://sandiego.craigslist.org/reply/sdo/apa/6048177066,,
