,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
82,seattle,Efficiency Studio - PARKING & Utilities included w Rent,2017-03-17 12:57,1.0,350.0,1595.0,6008125777,John_Treat_Low,https://seattle.craigslist.org/see/apa/6008125777.html,https://seattle.craigslist.org/reply/sea/apa/6008125777,,
3,seattle,LARGE 2x2 HIGH-END LIVING ACROSS FROM PARK,2017-03-17 13:22,2.0,1200.0,3651.0,6048302160,Jane_Control,https://seattle.craigslist.org/est/apa/6048302160.html,https://seattle.craigslist.org/reply/sea/apa/6048302160,,
44,seattle,Beautiful Building in Bloom! 1 bedroom at Zephyr Available Mid-April!,2017-03-17 12:51,1.0,677.0,2150.0,6048253879,Jane_Control,https://seattle.craigslist.org/see/apa/6048253879.html,https://seattle.craigslist.org/reply/sea/apa/6048253879,,
5,seattle,"When Minutes Matter, Live Where You Work and Play",2017-03-17 13:33,1.0,704.0,2395.0,6048317987,John_Control,https://seattle.craigslist.org/see/apa/6048317987.html,https://seattle.craigslist.org/reply/sea/apa/6048317987,,
57,seattle,Luxury Villa with  Private Patio,2017-03-16 13:46,1.0,1043.0,3595.0,6046908617,Jane_Treat_High,https://seattle.craigslist.org/see/apa/6046908617.html,https://seattle.craigslist.org/reply/sea/apa/6046908617,,
35,seattle,Simply Stunning 1 Bedroom + Den! Pre - Lease TODAY! Move In April 7th,2017-03-17 12:58,1.0,989.0,2239.0,6048250766,Jane_Control,https://seattle.craigslist.org/see/apa/6048250766.html,https://seattle.craigslist.org/reply/sea/apa/6048250766,,
37,seattle,1X1 Top Floor-Renovated | Spacious with Ample Parking!,2017-03-17 13:17,1.0,758.0,1319.0,6048294743,Jane_Treat_High,https://seattle.craigslist.org/skc/apa/6048294743.html,https://seattle.craigslist.org/reply/sea/apa/6048294743,,
13,seattle,We're Ready to Welcome YOU Home!,2017-03-17 13:18,2.0,982.0,2220.0,6048285995,Jane_Treat_Low,https://seattle.craigslist.org/est/apa/6048285995.html,https://seattle.craigslist.org/reply/sea/apa/6048285995,,
85,seattle,Urban One Bedroom With a View of Downtown! Floor to Ceiling Windows!,2017-03-17 12:08,1.0,657.0,2050.0,6036692839,Jane_Control,https://seattle.craigslist.org/see/apa/6036692839.html,https://seattle.craigslist.org/reply/sea/apa/6036692839,,
5,seattle,Independent Senior Living Tour/ Lease Same Day Receive 50% Off Deposit,2017-03-17 13:32,1.0,602.0,1757.0,6048301713,John_Treat_Low,https://seattle.craigslist.org/skc/apa/6048301713.html,https://seattle.craigslist.org/reply/sea/apa/6048301713,,
106,seattle,Spacious 2 Bed/2 Bath with Fantastic View!,2017-03-17 10:09,2.0,1066.0,2485.0,6047979712,John_Treat_Low,https://seattle.craigslist.org/see/apa/6047979712.html,https://seattle.craigslist.org/reply/sea/apa/6047979712,,
57,seattle,Ground floor 1 bed 1 bath available now ( c-103),2017-03-17 13:10,1.0,794.0,1473.0,6048283353,Jane_Treat_Low,https://seattle.craigslist.org/skc/apa/6048283353.html,https://seattle.craigslist.org/reply/sea/apa/6048283353,,
115,seattle,Wonderful Apartment - 2 Bd x 2 Ba In Renton!!,2017-03-17 12:00,2.0,,1400.0,6015483986,John_Control,https://seattle.craigslist.org/skc/apa/6015483986.html,https://seattle.craigslist.org/reply/sea/apa/6015483986,,
10,seattle,Lake Roesiger waterfront home,2017-03-17 13:24,2.0,1400.0,2100.0,6048304468,Jane_Treat_Low,https://seattle.craigslist.org/sno/apa/6048304468.html,https://seattle.craigslist.org/reply/sea/apa/6048304468,,
