,Listing_Title,Posting_Date,city,posting_ID,full_URL,Bedrooms,Sqft,Price,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN
26,Private room in a new house with working professionals?,2017-02-21 11:29,sanfrancisco,6013567728,https://sfbay.craigslist.org/sfc/apa/6013567728.html,8.0,,1500.0,https://sfbay.craigslist.org/reply/sfo/apa/6013567728,
27,Rent apt,2017-02-21 11:00,sanfrancisco,6013470250,https://sfbay.craigslist.org/sfc/apa/6013470250.html,1.0,,1500.0,https://sfbay.craigslist.org/reply/sfo/apa/6013470250,
28,1 Bedroom Garden Apt Near Ocean Beach and GG Park (Incl Utilities),2017-02-21 11:00,sanfrancisco,5988123624,https://sfbay.craigslist.org/sfc/apa/5988123624.html,1.0,300.0,1895.0,https://sfbay.craigslist.org/reply/sfo/apa/5988123624,
29,OPEN WED 12-12:30PM- 2nd Floor 1BA/1BA - (325 Leavenworth St),2017-02-21 10:07,sanfrancisco,6013409745,https://sfbay.craigslist.org/sfc/apa/6013409745.html,1.0,,1700.0,https://sfbay.craigslist.org/reply/sfo/apa/6013409745,
30,Studio/in-law Unit,2017-02-21 09:52,sanfrancisco,5980483546,https://sfbay.craigslist.org/sfc/apa/5980483546.html,1.0,300.0,1549.0,https://sfbay.craigslist.org/reply/sfo/apa/5980483546,
31,"Affordable apt, Convenient San Jose area, Newer amenities, Spacious",2017-02-21 09:24,sanfrancisco,6003548933,https://sfbay.craigslist.org/sfc/apa/6003548933.html,1.0,453.0,1595.0,https://sfbay.craigslist.org/reply/sfo/apa/6003548933,
32,Affortable WATER VIEW 2/2 CONDO in Nice Location of Vallejo,2017-02-21 09:20,sanfrancisco,6005713551,https://sfbay.craigslist.org/sfc/apa/6005713551.html,2.0,1018.0,1795.0,https://sfbay.craigslist.org/reply/sfo/apa/6005713551,
33,1 bedroom in-law,2017-02-21 08:57,sanfrancisco,6009778838,https://sfbay.craigslist.org/sfc/apa/6009778838.html,1.0,,1600.0,https://sfbay.craigslist.org/reply/sfo/apa/6009778838,
34,Beautiful newly renovated in 3br 1.5ba unit,2017-02-21 08:48,sanfrancisco,6003377826,https://sfbay.craigslist.org/sfc/apa/6003377826.html,1.0,,1700.0,https://sfbay.craigslist.org/reply/sfo/apa/6003377826,
35,Highly desirable studio on 19th ave in Sunset district,2017-02-21 08:29,sanfrancisco,6013241899,https://sfbay.craigslist.org/sfc/apa/6013241899.html,1.0,200.0,1550.0,https://sfbay.craigslist.org/reply/sfo/apa/6013241899,
36,"Beautiful, bright and open 2nd floor studio in Sunset",2017-02-21 08:24,sanfrancisco,6013232787,https://sfbay.craigslist.org/sfc/apa/6013232787.html,1.0,240.0,1600.0,https://sfbay.craigslist.org/reply/sfo/apa/6013232787,
37,"1bd/1ba - Fully equipped Fitness Center, Huge Closets",2017-02-21 04:25,sanfrancisco,6003697723,https://sfbay.craigslist.org/sfc/apa/6003697723.html,1.0,560.0,1749.0,https://sfbay.craigslist.org/reply/sfo/apa/6003697723,
38,Clear Home,2017-02-21 02:36,sanfrancisco,6012886641,https://sfbay.craigslist.org/sfc/apa/6012886641.html,3.0,1200.0,1500.0,https://sfbay.craigslist.org/reply/sfo/apa/6012886641,
39,Move in Now; single bedroom FURNISHED in large home (USF/UCSF),2017-02-20 23:30,sanfrancisco,5994838881,https://sfbay.craigslist.org/sfc/apa/5994838881.html,1.0,,1750.0,https://sfbay.craigslist.org/reply/sfo/apa/5994838881,
40,"One  Bedroom, One  liveroom & bathroom=1500",2017-02-20 23:27,sanfrancisco,6012838038,https://sfbay.craigslist.org/sfc/apa/6012838038.html,1.0,,1500.0,https://sfbay.craigslist.org/reply/sfo/apa/6012838038,
41,1br - LIGHT FILLED One Bedroom IN LAW with KITCHEN,2017-02-20 22:36,sanfrancisco,6012818335,https://sfbay.craigslist.org/sfc/apa/6012818335.html,1.0,,1600.0,https://sfbay.craigslist.org/reply/sfo/apa/6012818335,
