,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
48,chicago,Beacon/Leland,2017-03-17 15:32,2.0,1680.0,1650.0,6042545056,John_Control,,
64,chicago,Near West Side two bed with amazing views,2017-03-17 14:05,2.0,1005.0,3160.0,6048151659,Jane_Treat_High,,
30,chicago,Gut Rehabbed Edgewater 1 Bed Condo w/ Cable Included!,2017-03-17 15:35,1.0,,1275.0,6035136920,John_Treat_High,,
13,chicago,Andersonville Newly Rehabbed 2 Bed /2 Bath Condo Style places for Rent,2017-03-17 15:45,2.0,,1775.0,6048336744,John_Treat_Low,,
5,chicago,INCREDIBLE 2 Bedroom 2 Bathroom South Loop ~ SS ~ Quartz ~ W/D ~ Pool,2017-03-17 15:41,2.0,1241.0,3205.0,6031348314,Jane_Control,,
17,chicago,Amazing 1 Bedroom 1 Bathroom in South Loop ~ W/D ~ Granite ~ HW Floor,2017-03-17 15:41,1.0,,2259.0,6033402574,John_Treat_Low,,
65,chicago,2 BED 1 BATH APARTMENT,2017-03-17 15:28,2.0,1000.0,1175.0,6048287542,John_Treat_Low,,
58,chicago,1BR-Eat in Kitchen-HDWD Flrs-Pet Friendly-Avail 5/1-545 Chestnut,2017-03-17 15:29,1.0,,1295.0,6042596570,Jane_Treat_High,,
12,chicago,Newer high rise convertible with hardwood and WD. Virtual tours avail,2017-03-17 15:43,1.0,,1884.0,6005165120,Jane_Control,,
59,chicago,Beautful Courtyard in Edgewater has the Biggest one bdrm w/FREE HEAT,2017-03-17 15:29,1.0,1000.0,1200.0,6043869802,Jane_Treat_High,,
0,chicago,NEW Logan Square Rehab BLDG! ALL new! W/d in unit! S/S appliances!,2017-03-17 15:49,2.0,,1500.0,6042671763,John_Treat_Low,,
39,chicago,Gut Rehabbed Edgewater 1 Bed Condo w/ Cable Included!,2017-03-17 15:33,1.0,,1275.0,6035096002,John_Control,,
81,chicago,235 W Van Buren St #1920,2017-03-17 15:28,1.0,692.0,1635.0,6048310165,Jane_Treat_High,,
49,chicago,Huge 1 BR - Open Floor Plan w/Balcony - In Unit W/D - Great Location,2017-03-17 15:32,1.0,720.0,1766.0,6048292233,Jane_Control,,
54,chicago,Wonderful $1995 1 Bedroom Condo in Lincoln Park - Pet Friendly,2017-03-17 15:31,1.0,,1995.0,6042207354,Jane_Treat_Low,,
1,chicago,Furnished - Flexible 4 to 8 month lease! STARTING SEPT #939,2017-03-17 15:51,2.0,1200.0,2875.0,6038382402,Jane_Treat_Low,,
45,chicago,Renovated Pet Friendly Large 2BR Avail. NOW in Evanston! 1313-21 Oak,2017-03-17 15:30,2.0,,1695.0,6033990449,Jane_Treat_Low,,
67,chicago,NEW OLD TOWN 2 BED / 2 BATH -- W/D and HWD,2017-03-17 14:02,2.0,,3017.0,6044575149,John_Treat_Low,,
100,chicago,"BEAUTIFUL Lakeview East 2 bed, 2 bath w/private rooftop deck!!!",2017-03-17 14:42,2.0,1200.0,2600.0,6048240166,Jane_Control,,
68,chicago,NEW OLD TOWN 2 BED / 2 BATH -- W/D and HWD,2017-03-17 14:00,2.0,,3063.0,6044575302,John_Treat_High,,
15,chicago,Lakeview 2 Bed 2 Bath with In unit Laundry!,2017-03-17 15:35,2.0,,2600.0,6031960691,Jane_Treat_High,,
112,chicago,Spacious Lakeview 1BD Apt w no sec deposit! By the Brown Line.,2017-03-17 15:20,1.0,,1350.0,6038716217,Jane_Treat_High,,
105,chicago,Heart of Lakeview East ... WITH Parking!-,2017-03-17 15:21,1.0,,1300.0,6015160942,John_Control,,
109,chicago,"Beautiful 1bed 1bath, private balcony, wood floors, a must see!",2017-03-17 15:20,1.0,,1310.0,6048299278,John_Control,,
93,chicago,2bdr plus den with FREE laundry/heat available 3/1,2017-03-17 14:56,2.0,,1400.0,6021888775,John_Treat_Low,,
34,chicago,South Facing! Private Entrance! Utilities Included!,2017-03-17 15:34,1.0,785.0,1135.0,6048319902,Jane_Treat_High,,
31,chicago,Renovated 1 Bedroom-New Kitchen-SSA-DW-Avail 5/1! 740-50 W. Addison,2017-03-17 15:37,1.0,,1695.0,6023964519,Jane_Treat_Low,,
117,chicago,"Two Bedroom Two Bath, Amazing!",2017-03-17 15:05,2.0,,2450.0,6031984965,John_Treat_Low,,
95,chicago,Apartment meant for a king! Tremendous Apartments!,2017-03-17 14:43,2.0,,2550.0,6035502154,Jane_Treat_Low,,
46,chicago,"Thoughtfully designed apartment, suited for your needs!",2017-03-17 15:33,1.0,,1650.0,6014487034,John_Treat_High,,
25,chicago,"1 BED - EXPOSED BRICK / BEAM LOFT -HEAT, AC, INTERNET, CABLE INCL",2017-03-17 15:42,1.0,850.0,1900.0,6048319583,Jane_Treat_Low,,
106,chicago,Stunning 2 Bed 2 Bath Condo w/ Private Rooftop Deck & Parking Incl!,2017-03-17 15:24,2.0,,2000.0,6041960114,John_Treat_High,,
112,chicago,GREAT CORNER 2 BEDROOM IN PRIME WEST LOOP LOCATION,2017-03-17 13:06,2.0,,3255.0,6034647272,Jane_Treat_Low,,
49,chicago,Stunning Penthouse 2 Bed 2 Bath Condo w/ Private Rooftop Deck,2017-03-17 15:28,2.0,,2000.0,6028170510,Jane_Control,,
60,chicago,ONE STORY 2 BEDROOM 3 BATHROOM HOUSE FOR RENT IN ORLAND PARK,2017-03-17 15:28,2.0,,1700.0,6048253578,John_Treat_Low,,
66,chicago,2 bedroom Ground floor apartment east of Damen.....,2017-03-17 15:15,2.0,,1400.0,6048291468,John_Control,,
23,chicago,Renovated 2BR Avail. 5/1-HDWD-DW-No Sec.Dep - 3720 N. Pine Grove,2017-03-17 15:37,2.0,,2095.0,6036592593,Jane_Treat_Low,,
71,chicago,1 Bedroom  For Rent- NEWLY Renovated!!!! $600 Off Special!!!,2017-03-17 15:11,2.0,1200.0,1450.0,6048285954,Jane_Treat_Low,,
109,chicago,"LOGAN SQUARE 2BDR  FREE LAUNDRY ONLY 1,100 AVAILABLE 5/15",2017-03-17 14:55,2.0,,1100.0,6044464042,John_Treat_High,,
16,chicago,"Huge 2B/2B with Balcony, W/D, Amenities, Windows, Downtown!",2017-03-17 15:34,2.0,1111.0,2795.0,6048295012,John_Treat_Low,,
21,chicago,Large 1BR-HDWD-Pet Friendly - Avail. NOW -  3720 N. Pine Grove,2017-03-17 15:37,1.0,,1350.0,6016299306,John_Treat_Low,,
26,chicago,Stop. Look. Lease! Save $1200 today only on Super Spacious 1BR!,2017-03-17 15:36,1.0,850.0,1399.0,6048323281,John_Control,,
46,chicago,Large East Lakeview 2 Bed 2 Bath with Laundry and Deck,2017-03-17 15:20,2.0,,2550.0,6035454805,John_Control,,
