,Bedrooms,Listing_Title,Posting_Date,Price,Reply_contact_info_link,Sqft,city,full_URL,posting_ID
108,2.0,"Newly upgraded Homes! Pet Friendly, large dogs welcome!",2017-03-17 12:44,1360.0,https://seattle.craigslist.org/reply/sea/apa/6035388328,900.0,seattle,https://seattle.craigslist.org/skc/apa/6035388328.html,6035388328
110,2.0,Condo at the BRIO,2017-03-17 12:43,1350.0,https://seattle.craigslist.org/reply/sea/apa/6024009922,,seattle,https://seattle.craigslist.org/sno/apa/6024009922.html,6024009922
113,2.0,Top Floor 2 Bedroom 2 Bath Apartment With Vaulted Ceilings!!,2017-03-17 12:42,1380.0,https://seattle.craigslist.org/reply/sea/apa/6048229143,860.0,seattle,https://seattle.craigslist.org/skc/apa/6048229143.html,6048229143
118,2.0,Like New with W/D - Remodeled 2 Bd/ 1.5 Bath on the Trail!,2017-03-17 12:41,1275.0,https://seattle.craigslist.org/reply/sea/apa/6048238026,1035.0,seattle,https://seattle.craigslist.org/skc/apa/6048238026.html,6048238026
0,2.0,Hurry to get 1st Month Free!! Stunning 2 Bed/2 Bath with 9' Ceiling!!!,2017-03-17 13:37,1970.0,https://seattle.craigslist.org/reply/sea/apa/6039629004,1147.0,seattle,https://seattle.craigslist.org/est/apa/6039629004.html,6039629004
1,2.0,Spring is in the Air!!!! Get a TOP FLOOR APARTMENT!!!,2017-03-17 13:37,1783.0,https://seattle.craigslist.org/reply/sea/apa/6048324059,984.0,seattle,https://seattle.craigslist.org/est/apa/6048324059.html,6048324059
2,2.0,"Spacious 2-bd apartment, U-Village, Children's Hospital",2017-03-17 13:35,1550.0,https://seattle.craigslist.org/reply/sea/apa/6041507698,950.0,seattle,https://seattle.craigslist.org/see/apa/6041507698.html,6041507698
4,2.0,Unique Top Floor Corner 2 Bed 2 Bath w/ Huge Patio *SPECIAL*,2017-03-17 13:33,1899.0,https://seattle.craigslist.org/reply/sea/apa/6048317864,1019.0,seattle,https://seattle.craigslist.org/est/apa/6048317864.html,6048317864
6,2.0,Top Floor 2x2 Park & Lake Side/Corner Home!! USB Plugins!!,2017-03-17 13:32,1791.0,https://seattle.craigslist.org/reply/sea/apa/6048316300,974.0,seattle,https://seattle.craigslist.org/est/apa/6048316300.html,6048316300
8,2.0,FURRY FRIENDS ARE WELCOME HERE✔ @ TAYLOR CREEK APARTMENTS,2017-03-17 13:31,1680.0,https://seattle.craigslist.org/reply/sea/apa/6048301938,932.0,seattle,https://seattle.craigslist.org/see/apa/6048301938.html,6048301938
9,2.0,Beautiful Finishes In This Renovated 2BR! Available April 7th,2017-03-17 13:31,1501.0,https://seattle.craigslist.org/reply/sea/apa/6048300212,900.0,seattle,https://seattle.craigslist.org/skc/apa/6048300212.html,6048300212
14,2.0,It Feels Good to be Home! And with First Month Free! 2 Bed 1 Bath!,2017-03-17 13:29,1865.0,https://seattle.craigslist.org/reply/sea/apa/6039557014,1085.0,seattle,https://seattle.craigslist.org/est/apa/6039557014.html,6039557014
18,2.0,Very spacious and beautiful 2 bedroom! Lots of Storage Space!,2017-03-17 13:23,1819.0,https://seattle.craigslist.org/reply/sea/apa/6048286580,1100.0,seattle,https://seattle.craigslist.org/sno/apa/6048286580.html,6048286580
19,2.0,"Gorgeous home 9ft Ceilings, Large walk-in closets, Gas Fire place",2017-03-17 13:23,1878.0,https://seattle.craigslist.org/reply/sea/apa/6048302976,1026.0,seattle,https://seattle.craigslist.org/skc/apa/6048302976.html,6048302976
24,2.0,Stunning yet affordable 2 bedroom home- Minutes from Downtown Redmond!,2017-03-17 13:20,1650.0,https://seattle.craigslist.org/reply/sea/apa/6036698847,1000.0,seattle,https://seattle.craigslist.org/est/apa/6036698847.html,6036698847
26,2.0,Move in today! Beautiful 2x2 Available Now,2017-03-17 13:19,1810.0,https://seattle.craigslist.org/reply/sea/apa/6048298000,948.0,seattle,https://seattle.craigslist.org/sno/apa/6048298000.html,6048298000
33,2.0,Upscale Luxury Condo For Rent Available Immediately,2017-03-17 13:16,1745.0,https://seattle.craigslist.org/reply/sea/apa/6048293349,,seattle,https://seattle.craigslist.org/est/apa/6048293349.html,6048293349
35,2.0,BE THE FIRST TO LIVE IN THIS APARTMENT!!!!,2017-03-17 13:15,1500.0,https://seattle.craigslist.org/reply/sea/apa/6048292046,983.0,seattle,https://seattle.craigslist.org/see/apa/6048292046.html,6048292046
36,2.0,"Perfect Roommate Two Bedroom, Space, Privacy and Great Location",2017-03-17 13:15,1955.0,https://seattle.craigslist.org/reply/sea/apa/6048291355,920.0,seattle,https://seattle.craigslist.org/est/apa/6048291355.html,6048291355
37,2.0,2x1 In The Beautiful City Of Renton. Pre-Lease for April!!,2017-03-17 13:14,1635.0,https://seattle.craigslist.org/reply/sea/apa/6048290226,915.0,seattle,https://seattle.craigslist.org/skc/apa/6048290226.html,6048290226
38,2.0,Independent Senior Living Tour/ Lease Same Day Receive 50% Off Deposit,2017-03-17 13:14,1951.0,https://seattle.craigslist.org/reply/sea/apa/6048289164,805.0,seattle,https://seattle.craigslist.org/skc/apa/6048289164.html,6048289164
41,2.0,2 Bdrm Twnhm! Coming Soon! Balcony* 2 Car Garage**Wetland View!,2017-03-17 13:12,1655.0,https://seattle.craigslist.org/reply/sea/apa/6048286267,1234.0,seattle,https://seattle.craigslist.org/tac/apa/6048286267.html,6048286267
43,2.0,Parklike setting - very peaceful environment! Feels like Home!,2017-03-17 13:11,1575.0,https://seattle.craigslist.org/reply/sea/apa/6023413905,880.0,seattle,https://seattle.craigslist.org/sno/apa/6023413905.html,6023413905
44,2.0,$99 weekend move in special!,2017-03-17 13:11,1548.0,https://seattle.craigslist.org/reply/sea/apa/6048274915,1080.0,seattle,https://seattle.craigslist.org/sno/apa/6048274915.html,6048274915
45,2.0,LUXURY 2 BEDROOM ***2 Master Suites*Coming Soon! Call for Availability,2017-03-17 13:11,1655.0,https://seattle.craigslist.org/reply/sea/apa/6048285353,1234.0,seattle,https://seattle.craigslist.org/tac/apa/6048285353.html,6048285353
46,2.0,One Month Free On This Newly Renovated Two Bedroom Home!,2017-03-17 13:11,1653.0,https://seattle.craigslist.org/reply/sea/apa/6048285295,1000.0,seattle,https://seattle.craigslist.org/sno/apa/6048285295.html,6048285295
49,2.0,UPGRADED 2 Bed/1 Bath !Very Cozy!Amazing Location! CARPORT,2017-03-17 13:10,1550.0,https://seattle.craigslist.org/reply/sea/apa/6035024763,836.0,seattle,https://seattle.craigslist.org/sno/apa/6035024763.html,6035024763
50,2.0,$250 Visa Gift Card after Move In!,2017-03-17 13:10,1715.0,https://seattle.craigslist.org/reply/sea/apa/6048283830,975.0,seattle,https://seattle.craigslist.org/sno/apa/6048283830.html,6048283830
51,2.0,BRAND NEW 2 Bedroom w/ GRANITE and GARAGE,2017-03-17 13:09,1795.0,https://seattle.craigslist.org/reply/sea/apa/6048282808,915.0,seattle,https://seattle.craigslist.org/skc/apa/6048282808.html,6048282808
53,2.0,(1068) Queen Anne Apartment in 9-unit building,2017-03-17 13:08,1795.0,https://seattle.craigslist.org/reply/sea/apa/6022379832,700.0,seattle,https://seattle.craigslist.org/see/apa/6022379832.html,6022379832
57,2.0,(1068) Queen Anne Apartment in 9-unit building,2017-03-17 13:08,1795.0,https://seattle.craigslist.org/reply/sea/apa/6022373308,700.0,seattle,https://seattle.craigslist.org/see/apa/6022373308.html,6022373308
60,2.0,2b/1b 85th street  W/D/G/F/P View of City and Montain,2017-03-17 13:06,1750.0,https://seattle.craigslist.org/reply/sea/apa/6040343726,900.0,seattle,https://seattle.craigslist.org/see/apa/6040343726.html,6040343726
